fakhouz	famly   	foulad
8035.00	12656.00	2829.00
8069.00	13147.00	2914.00
8097.00	13072.00	2899.00
8413.00	12989.00	2912.00
8436.00	12859.00	2811.00
8436.00	12750.00	2757.00
8436.00	12802.00	2865.00
8487.00	13308.00	2949.00
8667.00	13840.00	3009.00
8996.00	14379.00	3099.00
8919.00	14080.00	2998.00
8897.00	14207.00	2925.00
8845.00	14542.00	2897.00
8716.00	14559.00	2849.00
8677.00	14484.00	2923.00
8656.00	14102.00	2857.00
8576.00	14173.00	2810.00
8544.00	13920.00	2751.00
8430.00	14198.00	2846.00
8425.00	14398.00	2831.00
8418.00	14460.00	2827.00
8408.00	14237.00	2739.00
8403.00	14216.00	2734.00
8347.00	14035.00	2714.00
8333.00	13750.00	2613.00
8333.00	13204.00	2568.00
8221.00	13368.00	2636.00
8219.00	13815.00	2741.00
8285.00	14000.00	2838.00
8277.00	13569.00	2784.00
8505.00	13559.00	2893.00
8496.00	13637.00	3001.00
8496.00	13600.00	2931.00
8470.00	13607.00	2921.00
8468.00	13437.00	2875.00
8458.00	13381.00	2908.00
8452.00	13371.00	2927.00
8359.00	13469.00	3014.00
8507.00	14004.00	3126.00
8563.00	14343.00	3140.00
8664.00	14475.00	3217.00
8728.00	14378.00	3173.00
8702.00	13928.00	3053.00
8687.00	13980.00	2985.00
8657.00	13651.00	2872.00
8675.00	14086.00	2977.00
8679.00	14113.00	3094.00
8576.00	14136.00	3078.00
8661.00	14189.00	3175.00
8677.00	14188.00	3100.00
8975.00	14644.00	3196.00
9272.00	15221.00	3187.00
9214.00	15206.00	3170.00
9306.00	15737.00	3204.00
9299.00	15536.00	3102.00
9215.00	15382.00	3015.00
8946.00	15919.00	3119.00
9123.00	15989.00	3114.00
9123.00	15677.00	3102.00
9123.00	15659.00	3110.00
8316.00	15686.00	3105.00
8411.00	15702.00	3092.00
8306.00	15155.00	2976.00
8218.00	14741.00	2861.00
8210.00	14893.00	2897.00
8200.00	15241.00	2980.00
8198.00	15241.00	3062.00
8190.00	15241.00	3030.00
8154.00	15241.00	3019.00
8146.00	5229.00	3004.00
8141.00	5286.00	2997.00
8126.00	5354.00	2987.00
8081.00	5258.00	3052.00
8049.00	5198.00	3044.00
8048.00	5033.00	3031.00
8025.00	4983.00	3015.00
8002.00	5091.00	3028.00
8002.00	5138.00	3028.00
7935.00	5168.00	3028.00
7905.00	5264.00	2728.00
7885.00	5354.00	2728.00
7972.00	5433.00	2728.00
7986.00	5335.00	2837.00
7989.00	5361.00	2923.00
7985.00	5413.00	2898.00
7985.00	5354.00	2862.00
7984.00	5288.00	2814.00
7982.00	5313.00	2905.00
7958.00	5313.00	2909.00
7652.00	5278.00	2950.00
7648.00	5069.00	2850.00
7639.00	5033.00	2863.00
7639.00	4923.00	2827.00
7637.00	4733.00	2736.00
7630.00	4887.00	2820.00
7627.00	4885.00	2824.00
7627.00	4863.00	2818.00
7616.00	4868.00	2803.00
7613.00	4809.00	2791.00
7670.00	4779.00	2887.00
7662.00	4707.00	2899.00
7661.00	4696.00	2901.00
7704.00	4724.00	2964.00
7737.00	4769.00	2995.00
7748.00	4912.00	3008.00
7749.00	4888.00	2975.00
7769.00	4899.00	3073.00
8077.00	5000.00	3189.00
8077.00	5000.00	3189.00
8064.00	4972.00	3198.00
8073.00	4968.00	3193.00
8073.00	4920.00	3212.00
8154.00	4910.00	3269.00
8468.00	5055.00	3385.00
8762.00	5069.00	3420.00
8712.00	5193.00	3406.00
8699.00	5162.00	3391.00
8664.00	5111.00	3315.00
8637.00	5090.00	3247.00
8656.00	5089.00	3254.00
8656.00	5161.00	3259.00
8695.00	5070.00	3262.00
8983.00	4951.00	3262.00
9320.00	4952.00	3259.00
9108.00	4916.00	3132.00
8814.00	4899.00	3107.00
8834.00	4770.00	3186.00
8849.00	4834.00	3186.00
8845.00	4770.00	3181.00
8835.00	4752.00	3170.00
8828.00	4629.00	3156.00
8782.00	4662.00	3150.00
8771.00	4706.00	3145.00
8772.00	4750.00	3138.00
8769.00	4743.00	3118.00
8767.00	4715.00	3115.00
8751.00	4735.00	3152.00
8746.00	4708.00	3144.00
8736.00	4692.00	3124.00
8717.00	4531.00	3026.00
8717.00	4497.00	3013.00
8717.00	4493.00	3016.00
8717.00	4485.00	3019.00
8717.00	4482.00	2988.00
8717.00	4476.00	2963.00
8717.00	4482.00	2929.00
8717.00	4545.00	2932.00
8717.00	4556.00	2926.00
8717.00	4704.00	2910.00
8717.00	4690.00	2896.00
8717.00	4651.00	2892.00
8717.00	4643.00	2882.00
8717.00	4612.00	2877.00
8717.00	4581.00	2829.00
8717.00	4514.00	2786.00
8717.00	4449.00	2736.00
8717.00	4467.00	2768.00
8717.00	4478.00	2782.00
8717.00	4479.00	2774.00
8717.00	4481.00	2773.00
8717.00	4481.00	2770.00
8717.00	4478.00	2776.00
8717.00	4478.00	2764.00
8717.00	4469.00	2758.00
8717.00	4374.00	2684.00
8717.00	4225.00	2635.00
8717.00	4126.00	2625.00
8717.00	3978.00	2524.00
8717.00	3957.00	2518.00
8717.00	4110.00	2566.00
8717.00	4075.00	2561.00
8717.00	4133.00	2574.00
8717.00	4244.00	2667.00
8717.00	4409.00	2731.00
8717.00	4502.00	2698.00
8717.00	4434.00	2649.00
8717.00	4410.00	2627.00
8717.00	4413.00	2623.00
8717.00	4394.00	2611.00
8717.00	4362.00	2601.00
8717.00	4342.00	2608.00
8717.00	4313.00	2605.00
8717.00	4308.00	2600.00
8717.00	4329.00	2597.00
8717.00	4348.00	2573.00
8717.00	4352.00	2572.00
8717.00	4355.00	2571.00
8717.00	4357.00	2567.00
8717.00	4359.00	2564.00
8717.00	4366.00	2592.00
8717.00	4371.00	2675.00
8717.00	4385.00	2657.00
8717.00	4433.00	2741.00
8717.00	4609.00	2819.00
8717.00	4684.00	2813.00
8717.00	4697.00	2806.00
8717.00	4880.00	2903.00
8717.00	4935.00	2911.00
8717.00	4941.00	2905.00
8717.00	5120.00	3011.00
8717.00	5130.00	3095.00
8717.00	5077.00	3007.00
8717.00	5082.00	3035.00
8717.00	5092.00	3046.00
8717.00	5066.00	2981.00
8717.00	5022.00	2964.00
8717.00	5062.00	3012.00
8717.00	5068.00	3004.00
8717.00	5037.00	2999.00
10879.00	5010.00	3074.00
10804.00	5003.00	3063.00
11080.00	4994.00	3030.00
10867.00	4815.00	2982.00
10797.00	4725.00	2960.00
10717.00	4691.00	2930.00
10689.00	4697.00	2920.00
10644.00	4738.00	2913.00
10626.00	4744.00	2906.00
10547.00	4691.00	2822.00
10477.00	4601.00	2808.00
10498.00	4595.00	2808.00
10509.00	4595.00	2808.00
10624.00	4595.00	2808.00
11027.00	4540.00	2722.00
11435.00	4510.00	2683.00
11354.00	4468.00	2677.00
11403.00	4449.00	2691.00
11751.00	4476.00	2715.00
12219.00	4536.00	2823.00
12379.00	4679.00	2827.00
12406.00	4685.00	2836.00
12487.00	4686.00	2836.00
12703.00	4659.00	2833.00
13022.00	4620.00	2823.00
13456.00	4654.00	2860.00
13561.00	4689.00	2872.00
13592.00	4686.00	2968.00
13488.00	4677.00	2915.00
13239.00	4671.00	2890.00
13300.00	4718.00	2912.00
13420.00	4776.00	2942.00
13490.00	4801.00	2968.00
13831.00	4923.00	2988.00
13866.00	4956.00	3100.00
13852.00	4949.00	3081.00
13942.00	4972.00	3110.00
14052.00	4995.00	3115.00
14078.00	4993.00	3109.00
14050.00	4959.00	3078.00
14052.00	4955.00	3071.00
14043.00	4931.00	3061.00
14487.00	5003.00	3099.00
14529.00	5049.00	3145.00
15081.00	5112.00	3253.00
15132.00	5078.00	3247.00
15220.00	5075.00	3310.00
15605.00	5143.00	3422.00
15484.00	5030.00	3301.00
15967.00	5011.00	3295.00
16414.00	5024.00	3307.00
17068.00	5024.00	3288.00
17097.00	5013.00	3246.00
17090.00	4980.00	3219.00
17189.00	4975.00	3215.00
17200.00	4888.00	3198.00
17179.00	4890.00	3081.00
17113.00	4894.00	3096.00
16792.00	4896.00	3108.00
16791.00	4894.00	3081.00
16644.00	4886.00	3077.00
16675.00	4868.00	3093.00
16692.00	4848.00	3083.00
16623.00	4836.00	3080.00
16597.00	4813.00	3063.00
16469.00	4771.00	3025.00
16394.00	4742.00	2996.00
16312.00	4741.00	2990.00
16242.00	4709.00	2984.00
16609.00	4693.00	2980.00
17210.00	4677.00	2971.00
17343.00	4666.00	2962.00
17348.00	4668.00	2962.00
17362.00	4676.00	2975.00
17369.00	4695.00	2992.00
17280.00	4690.00	2979.00
17170.00	4684.00	2975.00
17171.00	4665.00	2954.00
17139.00	4659.00	2943.00
17136.00	4639.00	2929.00
17134.00	4639.00	2917.00
17129.00	4639.00	2909.00
17103.00	4639.00	2899.00
17099.00	4639.00	2887.00
16416.00	4639.00	2837.00
16435.00	4757.00	2838.00
16405.00	4757.00	2835.00
16405.00	4749.00	2839.00
16405.00	4744.00	2835.00
16405.00	4733.00	2825.00
16405.00	4717.00	2821.00
16405.00	4659.00	2782.00
16405.00	4659.00	2775.00
16405.00	4659.00	2665.00
16405.00	4659.00	2630.00
16405.00	3959.00	2611.00
16405.00	3959.00	2507.00
16405.00	3959.00	2518.00
16405.00	3959.00	2512.00
16446.00	3959.00	2527.00
16469.00	4036.00	2515.00
16458.00	4066.00	2512.00
16350.00	4042.00	2508.00
15930.00	4015.00	2414.00
15930.00	4000.00	2403.00
15930.00	3990.00	2411.00
15930.00	4012.00	2413.00
15930.00	4019.00	2424.00
15930.00	4015.00	2424.00
15930.00	4004.00	2424.00
15930.00	3970.00	2424.00
15930.00	3971.00	2424.00
15930.00	3969.00	2424.00
15930.00	3953.00	2424.00
14830.00	3947.00	2424.00
15529.00	3940.00	2424.00
15482.00	3926.00	2424.00
15384.00	3900.00	2424.00
15353.00	3872.00	2124.00
15180.00	3719.00	2124.00
14978.00	3728.00	2124.00
14926.00	3727.00	2130.00
14926.00	3690.00	2082.00
14926.00	3596.00	2005.00
14926.00	3586.00	1991.00
14926.00	3563.00	1968.00
14926.00	3545.00	1954.00
14926.00	3553.00	1990.00
14926.00	3566.00	1992.00
14926.00	3639.00	1995.00
15100.00	3636.00	2035.00
15146.00	3633.00	2039.00
15182.00	3641.00	2040.00
15445.00	3650.00	2042.00
15479.00	3657.00	2046.00
17202.00	3661.00	2047.00
17055.00	3665.00	2232.00
17328.00	3803.00	2219.00
17491.00	3836.00	2289.00
17808.00	3895.00	2377.00
18486.00	3946.00	2459.00
18481.00	4099.00	2471.00
18680.00	4230.00	2482.00
18520.00	4187.00	2396.00
18588.00	4278.00	2467.00
18595.00	4444.00	2477.00
18701.00	4619.00	2559.00
18664.00	4604.00	2546.00
18970.00	4762.00	2556.00
18985.00	4789.00	2542.00
18769.00	4733.00	2506.00
18842.00	4859.00	2597.00
18819.00	4887.00	2657.00
18102.00	4874.00	2648.00
18816.00	4932.00	2683.00
19547.00	5121.00	2788.00
20302.00	5324.00	2899.00
20404.00	5441.00	2980.00
20007.00	5250.00	2907.00
19948.00	5202.00	2915.00
20005.00	5407.00	3029.00
19718.00	5311.00	3012.00
19677.00	5409.00	3084.00
19850.00	5527.00	3166.00
20000.00	5513.00	3173.00
20022.00	5435.00	3060.00
19990.00	5273.00	2976.00
19974.00	5398.00	3016.00
19997.00	5589.00	3126.00
19992.00	5782.00	3156.00
20324.00	5957.00	3190.00
20324.00	6104.00	3190.00
20324.00	6104.00	3190.00
22315.00	6104.00	3746.00
22286.00	6104.00	3706.00
22615.00	6104.00	3752.00
22831.00	6104.00	3852.00
22769.00	6104.00	3774.00
22743.00	6104.00	3707.00
22695.00	6104.00	3698.00
22606.00	6104.00	3593.00
22524.00	6104.00	3579.00
21624.00	6104.00	3438.00
21487.00	6377.00	3507.00
21590.00	6631.00	3616.00
21528.00	6598.00	3582.00
21482.00	6470.00	3536.00
21226.00	6468.00	3487.00
21252.00	6519.00	3541.00
21398.00	6522.00	3617.00
21293.00	6493.00	3504.00
21182.00	6411.00	3493.00
21101.00	6217.00	3413.00
21082.00	6255.00	3399.00
21038.00	6262.00	3414.00
21114.00	6472.00	3482.00
21272.00	6534.00	3584.00
21692.00	6493.00	3689.00
22022.00	6631.00	3739.00
22172.00	6873.00	3831.00
21993.00	6872.00	3804.00
21969.00	6943.00	3853.00
22143.00	7076.00	3979.00
23010.00	7287.00	4136.00
22943.00	7262.00	4150.00
22215.00	7267.00	4276.00
22281.00	7286.00	4242.00
22289.00	7154.00	4170.00
22707.00	7131.00	4212.00
22902.00	7186.00	4334.00
22944.00	7467.00	4499.00
23001.00	7512.00	4674.00
23921.00	7698.00	4800.00
24874.00	7562.00	4752.00
25868.00	7772.00	4931.00
26902.00	8081.00	5112.00
27132.00	8047.00	4978.00
27720.00	8240.00	5106.00
27021.00	8093.00	4938.00
26120.00	7825.00	4803.00
26785.00	8051.00	4938.00
26907.00	8041.00	4953.00
26783.00	7860.00	4861.00
26642.00	7662.00	4727.00
26503.00	7723.00	4726.00
26590.00	7813.00	4802.00
26993.00	7736.00	4845.00
27164.00	7813.00	4870.00
27355.00	7854.00	5031.00
27442.00	7853.00	5126.00
27600.00	7701.00	5047.00
27591.00	7393.00	4849.00
27592.00	7197.00	4743.00
27348.00	7015.00	4652.00
26532.00	6748.00	4470.00
26870.00	7016.00	4642.00
27307.00	7090.00	4680.00
